,0,1,2,3,4,5,6,7,8,9,10,11,12
335,50,114,62,86,130,106,94,102,98,94,134,122,126
336,51,542,448,646,578,592,550,510,586,384,1110,1004,842
337,53,213,213,253,385,229,229,257,269,217,769,393,673
338,54,1,1,1,1,1,1,1,49,1,1,1,1
339,55,19,19,19,19,19,19,19,19,31,19,19,19
340,56,2,2,2,2,2,2,2,2,2,2,2,2
341,57,6,6,6,6,6,6,6,6,6,6,6,6
342,58,10,10,10,10,10,10,10,10,10,10,10,10
343,59,5,5,5,5,5,5,5,33,13,5,5,5
344,60,182,293,2,2,2,2,2,2,2,2,2,2
345,61,120,232,280,20,20,20,20,340,244,20,20,20
346,62,6,6,6,6,6,6,6,63,150,6,6,6
347,63,15,15,15,15,15,15,15,91,199,15,15,15
348,416,375,111,73,211,229,125,139,151,121,307,187,225
349,64,284,65,62,152,134,89,101,101,77,197,191,179
350,65,92,17,101,107,50,116,35,41,20,203,77,77
351,66,16,16,16,16,16,16,16,16,16,16,16,16
352,67,7,7,7,7,7,85,160,82,37,7,7,7
353,244,12,12,12,12,12,40,146,44,30,12,12,12
354,69,127,265,91,235,235,139,217,223,154,349,481,241
355,70,61,133,103,165,209,125,181,117,121,173,137,133
356,71,39,31,61,47,75,31,31,93,37,97,97,73
357,72,71,105,69,57,89,61,107,41,81,129,99,115
358,73,12,12,12,44,101,67,69,64,43,12,12,12
359,74,12,12,12,12,12,12,12,12,12,12,12,12
360,245,133,19,19,316,19,19,19,19,115,19,19,19
361,246,65,83,16,16,16,16,16,16,52,16,16,16
362,76,7,7,7,7,7,7,7,7,7,7,7,7
363,77,43,6,6,6,51,38,32,52,32,6,6,6
364,78,79,122,125,101,137,59,161,87,149,129,11,202
365,79,23,103,111,35,51,31,63,59,181,83,67,103
366,248,100,180,308,28,52,116,164,156,140,348,228,156
367,404,222,150,234,273,282,309,138,237,111,687,381,525
368,417,68,77,52,83,112,86,85,106,42,174,76,126
369,80,945,767,683,1087,1273,795,651,927,631,1059,1695,1199
370,81,203,619,859,1123,675,491,1091,1091,739,1379,1211,787
371,82,249,29,169,321,9,213,109,61,89,437,437,385
372,84,25,30,17,17,17,18,17,183,33,17,17,17
373,86,16,84,84,64,72,52,68,52,12,12,52,96
374,250,188,200,230,194,338,122,152,212,146,140,320,116
375,87,12,12,12,12,12,12,12,12,12,12,12,12
376,359,51,141,141,99,183,141,105,63,63,3,3,117
377,88,953,839,968,1112,1286,746,1052,917,758,2408,2789,1037
378,251,361,361,445,364,454,361,445,535,457,1405,859,451
379,361,133,97,1,133,109,109,157,97,121,205,13,121
380,89,207,115,119,183,163,127,67,179,87,395,315,179
381,90,7,31,19,10,25,31,19,19,19,136,7,118
382,92,41,25,21,37,23,31,15,29,25,1,1,1
383,93,224,88,160,124,124,100,104,40,16,16,16,16
384,95,5,5,29,25,29,13,41,61,17,33,25,21
385,418,14,14,14,14,14,14,14,22,82,14,14,14
386,97,52,524,408,532,832,580,300,476,456,1044,324,180
387,98,352,208,190,346,382,324,160,276,290,376,228,456
388,252,525,315,192,309,474,429,279,153,219,543,447,519
389,253,235,157,223,418,145,415,220,154,328,829,1183,721
390,362,7,7,7,79,187,172,277,148,244,7,7,7
391,419,68,50,18,14,44,28,14,50,42,4,4,4
392,254,268,169,88,115,208,136,202,133,253,4,4,4
393,331,316,226,270,214,388,190,186,390,92,510,282,274
394,255,184,136,182,160,206,206,202,184,142,356,236,378
395,332,48,102,96,210,228,126,324,66,486,552,690,384
396,256,278,852,238,292,665,600,314,764,400,1144,698,786
397,257,147,497,145,173,431,381,125,407,61,565,431,343
398,368,2,2,2,2,2,2,34,2,10,2,2,2
399,258,589,533,389,313,387,555,377,941,505,737,1053,933
400,373,1,1,1,1,1,1,1,1,1,1,1,1
401,259,8,8,8,8,8,8,8,8,8,8,8,8
402,260,2,2,2,2,2,2,2,2,2,2,2,2
403,261,13,13,13,13,13,13,13,13,13,13,13,13
404,263,31,7,91,121,97,265,109,157,49,7,7,7
405,264,2213,1997,1341,2333,3125,2869,3461,2957,1917,2189,1461,1429
406,267,19,51,23,11,35,71,63,87,3,3,3,3
407,268,798,598,406,824,1014,738,1090,1094,834,82,182,14
408,269,231,234,151,332,343,272,229,294,201,122,130,150
409,270,316,394,266,378,446,424,374,430,322,378,500,600
410,271,1932,2631,1134,3822,2820,2649,1935,2580,1578,2601,1926,2433
411,272,12,34,119,159,230,223,92,238,137,2,2,2
